companyName,industry,companyType,capital,ceoName,mainBusiness,Homage,affiliates,numberOfEmployees,establishmentDate,revenue,graduateSalary,hasFourInsurances,address
신한지주,지주회사,대기업,"2조 9,696억원 (2024.12.31)",진옥동,"국민연금, 건강보험, 고용보험, 산재보험",서울 중구 태평로2가 120 대경빌딩 16층,신한금융지주회사그룹 (주)신한디에스 신한자산운용(주) 신한펀드파트너스(주) 에스에이치씨매니지먼트(주) 신한이지손해보험(주) 신한신용정보(주) 신한자산신탁(주) 신한카드(주) 신한캐피탈(주) 신한라이프생명보험(주) (주)제주은행 (주)신한은행 신한투자증권(주) (자)신한제2호사모투자전문회사 더보기,178명 (2024.12.31),2001.09.01 (25년차),"2조 5,565억원 (2024.12.31)",금융지주회사,http://www.shinhangroup.com,N/A
신한카드,신용카드 및 할부금융업,대기업,"6,268억 4천만원 (2024.12.31)",박창훈,"신용카드,팩토링,할부금융,리스,자산부채종합관리",http://www.shinhancard.com,신한금융지주회사그룹 (주)신한디에스 신한자산운용(주) 신한펀드파트너스(주) (주)신한금융지주회사 에스에이치씨매니지먼트(주) 신한이지손해보험(주) 신한신용정보(주) 신한자산신탁(주) 신한캐피탈(주) 신한라이프생명보험(주) (주)제주은행 (주)신한은행 신한투자증권(주) 더보기,"2,585명 (2024.12.31)",1986.03.01 (40년차),"5조 7,218억원 (2024.12.31)","3,650만원 상세보기","국민연금, 건강보험, 고용보험, 산재보험",서울 중구 충무로1가 21 포스트타워
신한캐피탈,금융리스업,대기업,"3,300억원 (2024.12.31)",전필환,금융리스,http://www.shcap.co.kr,신한금융지주회사그룹 (주)신한디에스 신한자산운용(주) 신한펀드파트너스(주) (주)신한금융지주회사 에스에이치씨매니지먼트(주) 신한이지손해보험(주) 신한신용정보(주) 신한자산신탁(주) 신한카드(주) 신한라이프생명보험(주) (주)제주은행 (주)신한은행 신한투자증권(주) (자)신한제2호사모투자전문회사 더보기,279명 (2024.12.31),1991.04.20 (35년차),"8,889억 8천만원 (2024.12.31)","3,638만원 상세보기","국민연금, 건강보험, 고용보험, 산재보험",경기 안산시 단원구 고잔2동 530-1
신한투자증권,증권 중개업,대기업,"1조 7,869억원 (2024.12.31)",이선훈,"유가증권 매매,위탁매매,유가증권 인수,주선/부동산 임대",http://www.shinhansec.com,신한금융지주회사그룹 (주)신한디에스 신한자산운용(주) 신한펀드파트너스(주) (주)신한금융지주회사 에스에이치씨매니지먼트(주) 신한이지손해보험(주) 신한신용정보(주) 신한자산신탁(주) 신한카드(주) 신한캐피탈(주) 신한라이프생명보험(주) (주)제주은행 (주)신한은행 (자)신한제2호사모투자전문회사 더보기,"2,566명 (2024.12.31)",1973.04.02 (53년차),11조 2천억원 (2024.12.31),"4,500만원 상세보기","국민연금, 건강보험, 고용보험, 산재보험","서울 영등포구 여의대로 70 (여의도동, 신한금융투자"
신흥,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
심텍,인쇄회로기판용 적층판 제조업,중견기업,170억 7천만원 (2024.12.31),전영선/김영구,"국민연금, 건강보험, 고용보험, 산재보험","충북 청주시 흥덕구 산단로 73 (송정동, (주)심텍)",심텍홀딩스그룹 (주)심텍홀딩스 (주)글로벌심텍 (주)에이아이테크 (주)베스틱스,"2,802명 (2024.12.31)",2015.07.01 (11년차),"9,494억 9천만원 (2024.12.31)","반도체용 인쇄회로기판,전자관,다이오드트랜지스터 제조/부동산 임대",http://www.simmtech.co.kr,N/A
쌍방울,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
써니전자,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
쏘카,자동차 임대업,중견기업,32억 8천만원 (2024.12.31),박재욱,"카셰어링,모빌리티 플랫폼",http://www.socarcorp.kr,쏘카그룹 에스오카제삼차(주) 에스오카제오차(주) 에스오카제육차(주),432명 (2024.12.31),2011.11.10 (15년차),"3,927억 6천만원 (2024.12.31)","3,054만원 상세보기","국민연금, 건강보험, 고용보험, 산재보험",제주 제주시 도령로 129 (연동) 5층 (주)쏘카
씨아이에스,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
